year,quarter,source_pdf,question_number,question,analyst_name,analyst_company,answer_number,answer,banker_name,banker_company,qa_thread_id
2023,Q1,230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf,2.0,"Good morning, gents . Thanks very much for taking my questions . Maybe just to follow up on that capital return question, firstly, and then I’ve got another one on asset quality . When we look at your headline capital ratio, it’s very strong and quite a significant tick-up over the last couple of quarters in particular . I guess there  are a few adjusting items in there . Should we exclude the French disposal, let’s say, reversal from the headline ratio ? I guess, if we exclude the share buyback, we get back in your range towards the lower end.  So I guess the question is how much RWA grow th you anticipate the business to require over the next 12 months . Linking to your loan growth outlook as well, I’m just wondering if you could give us some colour on RWA growth expectations there, and that, hopefully, gives us a good idea of how much buybacks we can expect. The second one, again related to how much capital you might be able to generate in the remaining part of the year, your guidance on asset quality still implies quite a significant tick -up in provisions, given your very strong perfo rmance in Q1 . So I guess the question really is, are you guiding us to something specific in terms of the 40 -basis -point provision charge, or is that just an element of conservatism built into your guidance there ? Thank you.",Raul Sinha,JP Morgan,1.0,"Just one additional comment from me . You’ll notice on the capital walk that we’ve accrued dividends at 50% of the profit generation in Q1 . And if you do the maths on that, the accrual on dividend is hig her than the 10 cents that you’ve got in the Q1 declared interim dividend . So we’re accruing dividend distribution at a higher rate than the payment of the 10 cents, so that’s just factored into our CET1 ratio as well.",Noel Quinn,HSBC,2023-Q1-230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf-Q2
2023,Q1,230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf,2.0,"Good morning, gents . Thanks very much for taking my questions . Maybe just to follow up on that capital return question, firstly, and then I’ve got another one on asset quality . When we look at your headline capital ratio, it’s very strong and quite a significant tick-up over the last couple of quarters in particular . I guess there  are a few adjusting items in there . Should we exclude the French disposal, let’s say, reversal from the headline ratio ? I guess, if we exclude the share buyback, we get back in your range towards the lower end.  So I guess the question is how much RWA grow th you anticipate the business to require over the next 12 months . Linking to your loan growth outlook as well, I’m just wondering if you could give us some colour on RWA growth expectations there, and that, hopefully, gives us a good idea of how much buybacks we can expect. The second one, again related to how much capital you might be able to generate in the remaining part of the year, your guidance on asset quality still implies quite a significant tick -up in provisions, given your very strong perfo rmance in Q1 . So I guess the question really is, are you guiding us to something specific in terms of the 40 -basis -point provision charge, or is that just an element of conservatism built into your guidance there ? Thank you.",Raul Sinha,JP Morgan,2.0,"Thanks, Manus.  Just on the asset quality of SVB, everything that we’ve seen since we bought the busines s reinforces the view that we had that weekend when we did due diligence.  The book was a good quality book.  We’ve seen no nasty surprises. We did do a bit of mark to market on acquisition accounting , but that was evident to us when we did due diligence tha t weekend.  Georges can give you a little bit more detail on that, but fundamentally the asset quality of the SVB book is as we expected it. The team have done a good job in building that business over the past 14 years.  They’ve got good client relations, a good quality book, and good business development potential.  On the back of that we decided to invest in putting more people on the ground in some of the key markets around the world that have strong technology and life science centres, to take that busin ess model not just to the UK but to take it globally.  We’re investing in that as well.  No nasty surprises on that. In terms of other acquisitions that we may consider or M&A activity, the insurance business is a key component of the wealth proposition tha t we have.  We have a very profitable insurance business in Hong Kong.  It’s a combination of manufacturing and distribution.  The team have done a good job in building out the product line up in Hong Kong over the past few years to put us back into a market -leading position in Hong Kong, and we get access to the full value chain. One of the challenges we’ve often faced in the past is getting full recognition of that value , as a bank shareholder in an insurance manufacturing business.  You can rest assured the economics of that business are very strong and we’ve got a market -leading position.  We obviously , like all businesses , keep the strategy under review, and if we think there’s a better position to take , we’ll take it, but at the moment we’re pleased with th e way the insurance business is performing.",Noel Quinn,HSBC,2023-Q1-230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf-Q2
2023,Q1,230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf,2.0,"Good morning, gents . Thanks very much for taking my questions . Maybe just to follow up on that capital return question, firstly, and then I’ve got another one on asset quality . When we look at your headline capital ratio, it’s very strong and quite a significant tick-up over the last couple of quarters in particular . I guess there  are a few adjusting items in there . Should we exclude the French disposal, let’s say, reversal from the headline ratio ? I guess, if we exclude the share buyback, we get back in your range towards the lower end.  So I guess the question is how much RWA grow th you anticipate the business to require over the next 12 months . Linking to your loan growth outlook as well, I’m just wondering if you could give us some colour on RWA growth expectations there, and that, hopefully, gives us a good idea of how much buybacks we can expect. The second one, again related to how much capital you might be able to generate in the remaining part of the year, your guidance on asset quality still implies quite a significant tick -up in provisions, given your very strong perfo rmance in Q1 . So I guess the question really is, are you guiding us to something specific in terms of the 40 -basis -point provision charge, or is that just an element of conservatism built into your guidance there ? Thank you.",Raul Sinha,JP Morgan,3.0,"Getting into some of the maths, we acquired a loan book that is just shy of £6 billion.  That’s about $8 billion.  We’ve acquired $10 billion of RWA s, so if you consider those loans and some of t he additional RWAs on treasury books, operational risk, etc, you kind of land on these numbers.  Manus, we also acquired $1.5 billion of capital after the fair -value adjustments, so you’re talking about effectively a 16% CET1 ratio business that we acquired , so we think it is where it should be.",Georges Elhedery,HSBC,2023-Q1-230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf-Q2
2023,Q1,230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf,2.0,"Good morning, gents . Thanks very much for taking my questions . Maybe just to follow up on that capital return question, firstly, and then I’ve got another one on asset quality . When we look at your headline capital ratio, it’s very strong and quite a significant tick-up over the last couple of quarters in particular . I guess there  are a few adjusting items in there . Should we exclude the French disposal, let’s say, reversal from the headline ratio ? I guess, if we exclude the share buyback, we get back in your range towards the lower end.  So I guess the question is how much RWA grow th you anticipate the business to require over the next 12 months . Linking to your loan growth outlook as well, I’m just wondering if you could give us some colour on RWA growth expectations there, and that, hopefully, gives us a good idea of how much buybacks we can expect. The second one, again related to how much capital you might be able to generate in the remaining part of the year, your guidance on asset quality still implies quite a significant tick -up in provisions, given your very strong perfo rmance in Q1 . So I guess the question really is, are you guiding us to something specific in terms of the 40 -basis -point provision charge, or is that just an element of conservatism built into your guidance there ? Thank you.",Raul Sinha,JP Morgan,4.0,"At the end of 2022 the rate sensitivity on the downside 100 basis points scenario was reduced from around $6 billion at the half year to around $4 billion.  That $2 billion reduction, the NII sensitivity reduction of 100 basis points is for about a third of  it, justified by the structural hedges that we started putting in place or that we continued putting in place as of last year.  Two-thirds of it is due to the fact that we’re just at a higher level of rates and therefore we have less rates convexity  on the  downside. If you look into Q1 we have not published a revised rate sensitivity but we continued the trajectory of our structural hedges.  Just as a reminder, structural hedges will reduce somewhat our rate sensitivity, and our target is to take that $4 bi llion in the medium term to circa $3 billion. We are on that journey.  We have certainly not arrived there.  We will be giving you an update at H1.",Georges Elhedery,HSBC,2023-Q1-230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf-Q2
2023,Q1,230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf,3.0,"I’ve got two questions.  The first one is obviously the beat was very strong, and a lot of i t comes from non -interest income.  It appears that a lot of it is from Commercial Banking, and maybe some from Global Banking and Markets.  How much of that do you think is sustainable?  Presumably you wouldn’t encourage us to annualise the whole lot, so how much of that do you think is sustainable? Secondly, on the AGM on Friday I guess a lot of the attention will be around the debate you’re having with Ping An.  They obviously recently published an announcement that made some critiques, especially around your cost -income ratio and RoTE . You’ve obviously printed very strong numbers to date, but in some ways you  have guided to a lot of it already, especially around costs.  I’m sure you’ve also been communicating with them anyway, so why do you think those cri tiques were still made?",Perlie Mong,KBW,1.0,"I’ll deal with the second one later.  I’ll as k Georges to deal with the non -NII first, if that’s okay.",Noel Quinn,HSBC,2023-Q1-230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf-Q3
2023,Q1,230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf,3.0,"I’ve got two questions.  The first one is obviously the beat was very strong, and a lot of i t comes from non -interest income.  It appears that a lot of it is from Commercial Banking, and maybe some from Global Banking and Markets.  How much of that do you think is sustainable?  Presumably you wouldn’t encourage us to annualise the whole lot, so how much of that do you think is sustainable? Secondly, on the AGM on Friday I guess a lot of the attention will be around the debate you’re having with Ping An.  They obviously recently published an announcement that made some critiques, especially around your cost -income ratio and RoTE . You’ve obviously printed very strong numbers to date, but in some ways you  have guided to a lot of it already, especially around costs.  I’m sure you’ve also been communicating with them anyway, so why do you think those cri tiques were still made?",Perlie Mong,KBW,2.0,"We expect  many of  you will adjust your full -year numbers to reflect our Q1 outperformance.  That’s a fair assessment, but I’ll caution you not to annualise Q1.  If I just unpack it, the non -NII relating to the funding of our trading activities, $1.4 billion, is fairly reasonable to assume this number will annualise.  The wealth business – obviously with t he outlook improving in wealth - it is fairly reasonable to assume we will see regained traction and bounce back in particular in Hong Kong, whereas for some of the other activities such as the foreign exchange trading up performance I would caution you no t to annualise this number and just to bake it in as a Q1 outcome, and then for Q2, Q3 we will see how they fare.",Georges Elhedery,HSBC,2023-Q1-230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf-Q3
2023,Q1,230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf,3.0,"I’ve got two questions.  The first one is obviously the beat was very strong, and a lot of i t comes from non -interest income.  It appears that a lot of it is from Commercial Banking, and maybe some from Global Banking and Markets.  How much of that do you think is sustainable?  Presumably you wouldn’t encourage us to annualise the whole lot, so how much of that do you think is sustainable? Secondly, on the AGM on Friday I guess a lot of the attention will be around the debate you’re having with Ping An.  They obviously recently published an announcement that made some critiques, especially around your cost -income ratio and RoTE . You’ve obviously printed very strong numbers to date, but in some ways you  have guided to a lot of it already, especially around costs.  I’m sure you’ve also been communicating with them anyway, so why do you think those cri tiques were still made?",Perlie Mong,KBW,3.0,"On the wealth performance you said most of the non -NII was C MB and GBM.  I think it’s also fair to say that in WPB the wealth busi ness performed well in Q1.  Its revenue was up 13% in Q1 relative to Q1 last year.  What Georges is saying is I think we’ve seen a recovery taking place in that wealth revenue.  We’re not expecting that to just be a Q1 phenomenon. That is something that will continue in Q2, Q3 and Q4, but it’s still early days to predict whether the 13% is an annual number or it’s higher than that or lower than that.  We don’t expect it to disappear in Q2, Q3 or Q4, so there should be a level of annualisation on that as well in the WPB non -NII line. With respect to the AGM comment, we said for a while that we believe the safest and fastest way to achieve higher returns, better performance, better dividends and capital generation was the existing strategy.  I think the Q1 results  provide a lot of evidence that that is the fact, that that is the best way.  We guided the market over the last 12 months to a 12%+ RoTE . I did emphasise at the year -end that we should focus on the plus, not the 12, and I think you see in Q1, even excludin g the notable items, we’ve done a RoTE  of 19.3%. I would just draw attention to the fact that in that RoTE  of 19.3% there is a tax credit.  That tax credit is not something that will repeat every quarter, but even if you adjust for that it’s still a very h ealthy return on tangible equity.  What we’re focused on is driving performance on behalf of all our shareholders, and we believe doing what we’ve done is the best way to get improved returns and improved performance rather than some more radical corporate restructuring action.  We believe Q1 is strong evidence of that.  Georges, do you just want to clarify the tax situation?",Noel Quinn,HSBC,2023-Q1-230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf-Q3
2023,Q1,230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf,3.0,"I’ve got two questions.  The first one is obviously the beat was very strong, and a lot of i t comes from non -interest income.  It appears that a lot of it is from Commercial Banking, and maybe some from Global Banking and Markets.  How much of that do you think is sustainable?  Presumably you wouldn’t encourage us to annualise the whole lot, so how much of that do you think is sustainable? Secondly, on the AGM on Friday I guess a lot of the attention will be around the debate you’re having with Ping An.  They obviously recently published an announcement that made some critiques, especially around your cost -income ratio and RoTE . You’ve obviously printed very strong numbers to date, but in some ways you  have guided to a lot of it already, especially around costs.  I’m sure you’ve also been communicating with them anyway, so why do you think those cri tiques were still made?",Perlie Mong,KBW,4.0,"We’ve basically shown $1.9 billion as a tax charge, which is an effective tax rate of 14%.  I just want to caution you  that 3.2% relate s to the provisional gain on SVB, which is a non -taxable item, and another 3.3% relate s to the release of provisions for uncertain tax provisions, which is also a one -off item.  Therefore, if you adjusted for those two we still expect a 20%  ETR guidance for the rest of the year.",Georges Elhedery,HSBC,2023-Q1-230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf-Q3
2023,Q1,230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf,3.0,"I’ve got two questions.  The first one is obviously the beat was very strong, and a lot of i t comes from non -interest income.  It appears that a lot of it is from Commercial Banking, and maybe some from Global Banking and Markets.  How much of that do you think is sustainable?  Presumably you wouldn’t encourage us to annualise the whole lot, so how much of that do you think is sustainable? Secondly, on the AGM on Friday I guess a lot of the attention will be around the debate you’re having with Ping An.  They obviously recently published an announcement that made some critiques, especially around your cost -income ratio and RoTE . You’ve obviously printed very strong numbers to date, but in some ways you  have guided to a lot of it already, especially around costs.  I’m sure you’ve also been communicating with them anyway, so why do you think those cri tiques were still made?",Perlie Mong,KBW,5.0,"Two good question s. Georges will cover the second one and I’ll cover the first one. We still believe that a sale of the French retail business is the right strategic outcome. That business probably has a stronger future in an other purchaser’s hands, however we have been in discussions for a few weeks now with the current buyer t o try and overcome the challenge they have on their acquisition accounting impact on their capital base.  We’ll continue that dialogue.  We’re hoping we c an reach a mutually agreeable settlement with them on that, but we can’t be guaranteed of that outcome.  We have to consider what is financially the right decision for all shareholders. It’s hopeful that we can reach an agreement but it’s not guaranteed.  In the event we can’t , then I still think we’ll continue to run the business, but I still think over time we wouldn’t see that as a long -term strategic hold, but we’re happy to wait and see what happens thereafter.  We’re very much focused on trying to reach  an agreement with the current buyer to bring that transaction to a close.  That’s the update I have for you on costs.  I’ll hand over to Georges.",Noel Quinn,HSBC,2023-Q1-230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf-Q3
2023,Q1,230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf,3.0,"I’ve got two questions.  The first one is obviously the beat was very strong, and a lot of i t comes from non -interest income.  It appears that a lot of it is from Commercial Banking, and maybe some from Global Banking and Markets.  How much of that do you think is sustainable?  Presumably you wouldn’t encourage us to annualise the whole lot, so how much of that do you think is sustainable? Secondly, on the AGM on Friday I guess a lot of the attention will be around the debate you’re having with Ping An.  They obviously recently published an announcement that made some critiques, especially around your cost -income ratio and RoTE . You’ve obviously printed very strong numbers to date, but in some ways you  have guided to a lot of it already, especially around costs.  I’m sure you’ve also been communicating with them anyway, so why do you think those cri tiques were still made?",Perlie Mong,KBW,6.0,"So just a couple of additional comments from me.  On that reconciliation between the headline reporting number and the cost target, what we’ re trying to do is be very straightforward and not try and bake in what was a CTA last year into the cost base of this year. So we’re adjusting the prior year reported number for the notable CTA last year so that the cost target of 3% is on an ‘apples and apples ’ basis with the cost base of this year, so we’re not looking to take an easy option on that.  We think it’s the right thing to do, but as we say, we’re in 2% against the 3% target in Q1.  And then on SVB, I just want to clarify as well, the SVB busine ss we bought, we acquired a cost base with that, and we acquired a revenue stream, and that revenue stream was in excess of the cost base.  We’ve acquired a positive P&L that was contributing, if I remember correctly, around about $80 to $90 million of PBT.  So although we’ve acquired – the majority of the $300 million  is the acquired cost base of SVB, it is a profitable cost base.",Noel Quinn,HSBC,2023-Q1-230502-1q-2023-hsbc-presentation-to-investors-and-analysts-transcript.pdf-Q3
